account,avg_leverage,trade_freq,win_rate,total_pnl,cluster
0x083384f897ee0f19899168e3b1bec365f52a9012,419850788.8338882,3818,0.3596123624934521,1600229.819979,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,41406661.04326408,7280,0.4427197802197802,47885.320514,1
0x271b280974205ca63b716753467d5a371de622ab,128164740.0318976,3809,0.3019165135206091,-70436.191318,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,28766554.466441322,13311,0.43858462925400044,132464.814554,2
0x2c229d22b100a7beb69122eed721cee9b24011dd,295634028.5369676,3239,0.5199135535659154,168658.004994,0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,6494870.964513152,815,0.45521472392638035,-31203.599986,1
0x39cef799f8b69da1995852eea189df24eb5cae3c,107626594.7642673,3589,0.32766787405962666,14456.919335999997,1
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,359940461.23816013,332,0.4759036144578313,53496.247243,0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,298585375.26858026,383,0.2349869451697128,199505.592732,1
0x430f09841d65beb3f27765503d0f850b8bce7713,75981762.52274522,1237,0.48423605497170574,416541.872341,1
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,19131146.326906018,8519,0.35344524005164923,103343.716161,1
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,373150178.83321285,4356,0.48622589531680444,677747.050643,0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,753660903.5698241,7584,0.3603639240506329,308975.869716,0
0x513b8629fe877bb581bf244e326a047b249c4ff1,932304627.2265581,12236,0.40119320039228507,840422.555216,0
0x6d6a4b953f202f8df5bed40692e7fd865318264a,124159546.6939173,975,0.4317948717948718,108731.216772,1
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,95443649.01387222,1590,0.34591194968553457,429355.565915,1
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,53289905.13518979,1430,0.3062937062937063,403011.504159,1
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,999454257.6138407,9893,0.8108763772364298,379095.406711,0
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,285338119.60000527,1559,0.45221295702373315,14900.443047,1
0x8170715b3b381dffb7062c0298972d4727a0a63b,15407252.909407018,4601,0.38274288198217776,-167621.124781,1
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,73682518.2720314,1911,0.33019361590790164,65513.657906,1
0x8477e447846c758f5a675856001ea72298fd9cb5,49301167.90919704,14998,0.26196826243499133,43917.008976,2
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,62965212.43043906,3052,0.2853866317169069,126578.942134,1
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,9528563.054867355,15605,0.3457866068567767,106302.875256,2
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,23816758.719424892,417,0.5731414868105515,72846.484272,1
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,29456382.324265208,563,0.40852575488454707,67845.619531,1
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,706811955.2174643,534,0.32209737827715357,21758.831753,0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,254990894.9784645,14733,0.3371343243059798,2143382.597689,2
0xb899e522b5715391ae1d4f137653e7906c5e2115,630956569.8545035,4838,0.4386109962794543,22488.500821,0
0xbaaaf6571ab7d571043ff1e313a9609a10637864,1787505.9696711209,21192,0.46758210645526616,940163.80622,2
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,78508795.71328881,2641,0.32752745172283226,220519.061853,1
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,20906438.95297158,40184,0.428230141349791,836080.553077,2
